PIT MAP: Last updated 4/14/2025 10:00 PM CDT (Version 2025.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A51,,A52,B51,,B52,C51,,INSPECTION,,,D52,E51,,INSPECTION,,,F52,G51,,G52,H51,,,,,,J52,K51,,K52,L51,,INSPECTION,,,M52,N51,,INSPECTION,,,P52,Q51,,Q52,R51,,R52
4,,1629,1701,,3182,3489,,,,,10466,1369,,,,,3284,6083,,6146,10698,,,,,,10479,5193,,5181,2767,,,,,888,10337,,,,,3598,3414,,1468,1318,,58
A49,,A50,B49,,B50,C49,,,,,D50,E49,,,,,F50,G49,,G50,H49,,,,,,J50,K49,,K50,L49,,,,,M50,N49,,,,,P50,Q49,,Q50,R49,,R50
11,,1511,1727,,3132,3620,,,,,10120,900,,,,,3297,6017,,6348,10291,,,,,,10224,5736,,5013,2783,,,,,801,10021,,,,,3604,3322,,1477,1086,,118
A47,,A48,B47,,B48,C47,,C48,D47,,D48,E47,,E48,F47,,F48,G47,,G48,H47,,,,,,J48,K47,,K48,L47,,L48,M47,,M48,N47,,N48,P47,,P48,Q47,,Q48,R47,,R48
117,,1197,1732,,2935,3767,,5990,6014,,10079,694,,1425,3256,,3492,5968,,6424,10260,,,,,,10157,5817,,4907,2877,,2706,973,,781,10015,,6702,6510,,3674,3310,,1640,1023,,167
COL,,A46,B45,,B46,C45,,C46,COL,,D46,E45,,E46,F45,,F46,COL,,G46,H45,,,,,,J46,K45,,COL,L45,,L46,M45,,M46,N45,,COL,P45,,P46,Q45,,Q46,R45,,COL
,,1114,1756,,2851,3880,,5951,,,9583,649,,1481,3255,,3792,,,6832,9484,,,,,,9635,5985,,,2960,,2539,1038,,540,9105,,,6002,,3748,3142,,1683,957,,
A43,,A44,B43,,B44,C43,,C44,D43,,D44,E43,,E44,F43,,F44,G43,,G44,H43,,,,,,J44,K43,,K44,L43,,L44,M43,,M44,N43,,N44,P43,,P44,Q43,,Q44,R43,,R44
341,,1076,1923,,2834,3940,,5801,6340,,9576,537,,1507,3173,,3891,5660,,6909,9432,,,,,,9545,5987,,4728,3045,,2522,1153,,467,9029,,6806,5940,,4069,3015,,1741,910,,217
A41,,A42,B41,,B42,C41,,C42,D41,,D42,E41,,E42,F41,,F42,G41,,G42,H41,,,,,,J42,K41,,K42,L41,,L42,M41,,M42,N41,,N42,P41,,P42,Q41,,Q42,R41,,R42
386,,987,1987,,2638,4028,,5516,6358,,9459,494,,1671,2724,,4005,4967,,6911,9312,,,,,,9496,6324,,4145,3130,,2491,1241,,230,9024,,7056,5895,,4122,3006,,1816,876,,254
ARCHIMEDES,,,,,,,,,,,,DALY,,,,,,,,,,,,,HOPPER,,,,,,,,,,,,MILSTEIN,,,,,,,,,,,
,,A36,B35,,B36,C35,,C36,D35,,D36,E35,,E36,F35,,F36,G35,,G36,H35,,,,,,J36,K35,,K36,L35,,L36,M35,,M36,N35,,N36,P35,,P36,Q35,,Q36,R35,,
,,839,2052,,2637,4143,,5298,6369,,9408,418,,1678,2648,,4013,4786,,6995,9301,,,,,,9450,6621,,4009,3197,,2485,1506,,195,8749,,7153,5800,,4152,2980,,1942,587,,
,,A34,B33,,B34,C33,,C34,D33,,D34,E33,,E34,F33,,F34,G33,,G34,H33,,"P
I
T
 
A
D
M
I
N",,"P
I
T
 
A
D
M
I
N",,J34,K33,,K34,L33,,L34,M33,,M34,N33,,N34,P33,,P34,Q33,,Q34,R33,,
,,836,2106,,2601,4146,,5216,6548,,9234,302,,1731,2630,,4068,4655,,7034,9280,,,,,,9245,6647,,3970,3339,,2470,1700,,86,8592,,7407,5665,,4322,2976,,2137,503,,
,,A32,B31,,B32,C31,,C32,D31,,D32,E31,,E32,F31,,F32,G31,,G32,H31,,,,,,J32,K31,,K32,L31,,L32,M31,,M32,N31,,N32,P31,,P32,Q31,,Q32,R31,,
,,766,2231,,2590,4270,,4788,7211,,9126,226,,1796,2438,,4415,4613,,7048,9199,,,,,,9134,6652,,3928,3473,,2383,1768,,70,8429,,7790,5653,,4467,2881,,2145,456,,
,,A30,B29,,B30,C29,,C30,D29,,D30,E29,,E30,F29,,F30,G29,,G30,H29,,,,,,J30,K29,,K30,L29,,L30,M29,,M30,N29,,N30,P29,,P30,Q29,,Q30,R29,,
,,604,2338,,2481,4329,,4585,7522,,8044,179,,1833,2129,,4421,4607,,7197,9032,,,,,,8595,6873,,3882,3656,,2200,1902,,51,8393,,8020,5614,,5089,2720,,2240,324,,
,,A28,B27,,B28,C27,,C28,D27,,D28,E27,,E28,F27,,F28,G27,,G28,H27,,,,,,J28,K27,,K28,L27,,L28,M27,,M28,N27,,N28,P27,,P28,Q27,,Q28,R27,,
,,597,2341,,2342,4391,,4400,6352,,10656,78,,1847,2056,,4451,4500,,7257,8808,,,,,,8570,7421,,3814,3794,,2080,2075,,33,10523,,6665,5572,,5454,2486,,2337,321,,
,,A26,B25,,B26,C25,,C26,D25,,D26,E25,,E26,F25,,F26,G25,,G26,H25,,,,,,J26,K25,,K26,L25,,L26,M25,,M26,N25,,N26,P25,,P26,Q25,,Q26,R25,,
,,1391,1466,,3501,3539,,6329,6421,,10518,16,,1540,1561,,3990,4039,,7525,8738,,,,,,8177,7632,,4403,4398,,1619,1325,,45,10428,,6738,6459,,3937,3847,,1502,1388,,
,,A24,B23,,B24,C23,,C24,D23,,D24,E23,,E24,F23,,F24,G23,,G24,H23,,,,,,J24,K23,,K24,L23,,L24,M23,,M24,N23,,N24,P23,,P24,Q23,,Q24,R23,,
,,1329,1498,,3487,3663,,5813,6615,,10154,34,,1538,1625,,3863,4135,,7769,8575,,,,,,7902,6706,,4414,4253,,1648,1296,,111,10077,,6940,6431,,4091,3655,,1710,1323,,
CURIE,,,,,,,,,,,,GALILEO,,,,,,,,,,,,,JOHNSON,,,,,,,,,,,,NEWTON,,,,,,,,,,,
A17,,A18,B17,,B18,C17,,C18,D17,,D18,E17,,E18,F17,,F18,G17,,G18,H17,,EMT,,EMT,,J18,K17,,K18,L17,,L18,M17,,M18,N17,,N18,P17,,P18,Q17,,Q18,R17,,R18
27,,1261,1706,,3478,4020,,5804,6838,,10032,59,,1501,1792,,3572,4381,,7709,8214,,,,,,6749,6606,,4635,3739,,1676,1156,,245,10014,,6996,6328,,4272,3538,,1730,1072,,108
A15,,A16,B15,,B16,C15,,C16,D15,,D16,E15,,E16,F15,,F16,G15,,G16,H15,,,,,,J16,K15,,K16,L15,,L16,M15,,M16,N15,,N16,P15,,P16,Q15,,Q16,R15,,R16
67,,1148,1771,,3467,4192,,5654,6941,,9609,176,,1218,1868,,3536,4476,,7558,8503,,,,,,6800,6413,,4738,3668,,1690,1138,,316,9787,,7415,6147,,4499,3044,,1778,948,,125
A13,,A14,B13,,B14,C13,,C14,D13,,D14,E13,,E14,F13,,F14,G13,,G14,H13,,H14,,J13,,J14,K13,,K14,L13,,L14,M13,,M14,N13,,N14,P13,,P14,Q13,,Q14,R13,,R14
75,,1073,2022,,3354,4237,,5530,6948,,9442,180,,1002,1986,,3506,4522,,7539,8573,,10690,,10598,,6919,6357,,4776,3314,,1718,1108,,333,9085,,7426,5843,,4905,3008,,1807,930,,148
A11,,A12,B11,,B12,C11,,C12,D11,,D12,E11,,E12,F11,,F12,G11,,G12,H11,,H12,,J11,,J12,K11,,K12,L11,,L12,M11,,M12,N11,,N12,P11,,P12,Q11,,Q12,R11,,R12
88,,870,2046,,3313,4256,,5460,7028,,9401,190,,971,2230,,3459,4680,,6989,8708,,10589,,10482,,7520,6238,,4947,2987,,1860,695,,342,9072,,7444,5553,,4909,2974,,1825,868,,188
COL,,A10,B09,,B10,C09,,C10,COL,,D10,E09,,E10,F09,,F10,COL,,G10,H09,,H10,,J09,,J10,K09,,COL,L09,,L10,M09,,M10,N09,,COL,P09,,P10,Q09,,Q10,R09,,COL
,,862,2640,,3276,4422,,5112,,,8884,201,,834,2370,,3128,,,6574,8711,,10011,,10213,,7567,6024,,,2930,,2054,686,,365,8590,,,5535,,5026,2910,,1880,624,,
A07,,A08,B07,,B08,C07,,C08,D07,,D08,E07,,E08,F07,,F08,G07,,G08,H07,,H08,,J07,,J08,K07,,K08,L07,,L08,M07,,M08,N07,,N08,P07,,P08,Q07,,Q08,R07,,R08
103,,858,2642,,3175,4481,,4795,7166,,8608,233,,706,2530,,3035,4946,,6436,9008,,9785,,9717,,7840,5913,,5166,2826,,2073,589,,461,7617,,7531,5472,,5124,2832,,2228,449,,294
A05,,A06,B05,,B06,C05,,C06,D05,,D06,E05,,E06,F05,,F06,G05,,G06,H05,,H06,,J05,,J06,K05,,K06,L05,,L06,M05,,M06,N05,,N06,P05,,P06,Q05,,Q06,R05,,R06
166,,469,2847,,3100,4534,,4646,7457,,8513,353,,620,2614,,2992,5348,,6429,9016,,9692,,9427,,8033,5907,,5199,2714,,2122,581,,548,7565,,7538,5468,,5142,2635,,2412,422,,343
A03,,A04,B03,,B04,C03,,INSPECTION,,,D04,E03,,INSPECTION,,,F04,G03,,G04,H03,,H04,,J03,,J04,K03,,K04,L03,,INSPECTION,,,M04,N03,,INSPECTION,,,P04,Q03,,Q04,R03,,
340,,359,3005,,3061,4611,,,,,7657,498,,,,,2883,5411,,6401,9037,,9483,,8866,,8159,5705,,5352,2607,,,,,564,7563,,,,,5406,2468,,2429,360,,
,,,,,,,,,,,,,,,,,F02,G01,,G02,H01,,H02,,J01,,J02,K01,,K02,L01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2813,5712,,5847,9077,,9140,,8739,,8613,5526,,5449,2586,,,,,,,,,,,,,,,,,
Hall A,,,,,,,,,,,,,,,,,,,,,,,,,Hall E,,,,,,,,,,,,,,,,,,,,,,,
Excel version of pit map created by Che Smith of FRC 5414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to frc.nexus API for pit data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
